Codi_Sector_Activitat,Nom_Sector_Activitat,Codi_Grup_Activitat,Nom_Grup_Activitat,Codi_Activitat_2022,Nom_Activitat,Nom_Local,Latitud,Longitud,Direccio_Unica,Nom_Via
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400100,serveis d'allotjament,AG APARTMENTS & CONTEMPORARY PHOTOGRAPHY GALLERY,41.37452213,2.163294107,"043207, 7-7, LOC 10",BLASCO DE GARAY
2,Serveis,10,Equipaments culturals i recreatius,1111111,Equipaments culturals i recreatius,STANSA,41.373187667,2.160846591,"273400, 41-41, LOC 10",RADAS
2,Serveis,16,Altres,1600700,Centres d'estètica,LA STETICISTA,41.372535522,2.155518383,"178400, 31-31, LOC 20",LLEIDA
3,Altres,17,Altres,1700500,Activitats industrials,SN,41.371849152,2.162839472,"195500, 66-66, LOC 10",MARGARIT
2,Serveis,10,Equipaments culturals i recreatius,1111111,Equipaments culturals i recreatius,ESPAI PILUSO,41.372023261,2.165069729,"294207, 68-68, LOC 10",SALVÀ
2,Serveis,16,Altres,1600102,Activitats emmagatzematge,WIFI SAFE,41.371394251,2.161275744,"118805, 81-81, LOC 20",PG EXPOSICIÓ
3,Altres,17,Altres,1700700,Arts gràfiques,SIGNART ROTULACION,41.373592236,2.159378082,"234500, 16-16, LOC 10",OLIVERA
1,Comerç al detall,3,Parament de la llar,3004000,Parament ferreteria,OPTIMUS FERRETERIA BLESA,41.373180622,2.166640162,"288408, 31-33, LOC 20",ROSER
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400001,Bars   / CIBERCAFÈ,BUS STOP,41.372926005,2.158495635,"043706, 13-13, LOC 20",BÒBILA
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400001,Bars   / CIBERCAFÈ,AZOKA,41.3725164,2.16732949,"043502, 39-39, LOC 10",BLESA
3,Altres,17,Altres,1700600,Activitats de la construcció,NÚRIA CASTERÀ CONSTRUCCIONS METAL.LIQUES,41.370880975,2.159217149,"118805, 113-113, LOC 10",PG EXPOSICIÓ
1,Comerç al detall /Engròs,7,Altres,7005000,Altres,PETARDOS CM,41.371607612,2.161160409,"118805, 48-48, LOC 10",PG EXPOSICIÓ
1,Comerç al detall /Engròs,7,Altres,7005000,Altres,PETAR2M VENDA DE PETARDS,41.373722059,2.155812085,"234500, 62-62, LOC 10",OLIVERA
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400002,Restaurants,IL GOLFO DI NAPOLI,41.372277882,2.155373544,"178400, 38-38, LOC 10",LLEIDA
1,Comerç al detall,2,Quotidià no alimentari,2003000,"Herbolaris, dietètica i NUTRICIÓ",TERRA DE SALUT DIETETICA,41.372683463,2.166927159,"043502, 45-45, LOC 10",BLESA
